strain,replicate,temperature,time (hour),gdw (g/L),CFU (cell/mL),glucose (g/L),fructose (g/L),glycerol (g/L),ethanol (%v/v),acetate (g/L ?),citrate,tartrate,malate,succinate,lactate,butanediol,Alanine (mg/L),Arginine (mg/L),Aspartate (mg/L),Cysteine (mg/L),Glutamate (mg/L),Glutamine (mg/L),Glycine (mg/L),Histidine (mg/L),Isoleucine (mg/L),Leucine (mg/L),Lysine (mg/L),Methionine (mg/L),NH4Cl (mg/L),Phenylalanine (mg/L),Proline (mg/L),Serine (mg/L),Threonine (mg/L),Tryptophan (mg/L),Tyrosine (mg/L),Valine (mg/L),ethyl acetate (mg/L),isobutyl acetate (mg/L),isoamyl acetate (mg/L),isobutanol (mg/L),isoamyl alcohol(mg/L),2-phenylethylacetate(mg/L),benzyl alcohol (mg/L),2-phenylethanol
EC1118,C,NaN,73,2.64,1.03E+08,41.8988,64.7763,3.8872,6.0455,0.481,6.1612,NaN,5.6089,0.2932,0.1916,0.3331,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,15.396,0,0.491,9.656,127.765,0.638,0,154.126
EC1118,A,NaN,118,NaN,9.76E+07,14.9656,36.7447,4.4603,8.7045,0.5752,5.734,0.6925,5.2829,0.3844,0.1764,0.5467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,B,NaN,118,NaN,9.94E+07,15.0943,37.4785,4.3426,9.0604,0.599,5.9031,0.7247,5.4196,0.4301,0.1877,0.5002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,C,NaN,118,NaN,1.02E+08,15.773,39.8149,4.6137,9.4583,0.5388,6.3414,0.7528,5.7818,0.4779,0.2301,0.4577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,A,NaN,169,NaN,1.10E+08,1.0136,9.3829,4.9445,11.5365,0.5677,5.7721,0.6889,5.3086,0.4878,0.1956,0.5416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,B,NaN,169,NaN,1.18E+08,0.8969,8.9267,4.9003,11.5271,0.5883,5.8579,0.7167,5.3529,0.5349,0.1958,0.4605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,C,NaN,169,NaN,1.06E+08,0.84,8.8026,5.1545,11.6105,0.7846,5.8635,0.6805,5.3591,0.5542,0.2165,0.558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,A,NaN,193,NaN,NaN,0.0556,1.5343,4.834,12.0035,0.5657,5.9054,0.6197,5.3591,0.5148,0.1925,0.5275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,B,NaN,193,NaN,NaN,0.0418,1.1029,4.9349,12.0784,0.5374,5.8207,0.6189,5.2656,0.5475,0.1905,0.5814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,C,NaN,193,NaN,NaN,0.0441,1.0021,4.8869,12.0094,0.506,5.8263,0.5978,5.3652,0.5741,0.2133,0.372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,A,NaN,210,NaN,NaN,0.0097,4.2073,4.7159,11.69,0.5885,5.7027,0.493,5.1531,0.5013,0.1835,0.4755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,B,NaN,210,NaN,NaN,0.0138,4.0062,4.5713,11.1936,0.5096,5.4049,0.4834,4.9259,0.5157,0.1713,0.4048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,C,NaN,210,NaN,NaN,0.0291,4.3346,4.955,12.0173,0.5049,5.8184,0.4824,5.303,0.5755,0.2083,0.3951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EC1118,A,NaN,211,3.82,1.01E+08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.55,0,1.21,22.68,300.79,1.14,0,184.11
EC1118,B,NaN,211,3.92,1.02E+08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.51,0,1.16,24.49,318.21,1.21,0,204.83
EC1118,C,NaN,211,4,1.16E+08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.1,0,1.28,31.53,368.98,1.34,0,228.52
